,id,player_name,position,games,time,goals,xG,assists,xA,shots,key_passes,yellow_cards,red_cards,npg,npxG,xGChain,xGBuildup
7569,8837,Vladimir Golemic,D S,30.0,2331.0,2.0,1.2727307388558984,0.0,0.5185420596972108,6.0,6.0,4.0,1.0,1.0,0.511431903578341,3.358884811401367,3.269181570969522
7570,2827,Vladimir Granat,D S,15.2,1272.6,0.0,0.06273447424173353,0.0,0.17047506319358943,1.6,2.4,3.4,0.0,0.0,0.06273447424173353,2.791877447627485,2.681497832946479
7571,5497,Vladimir Iljin,F M S,20.833333333333332,1356.1666666666667,4.5,4.852336874697357,1.5,1.1888482328504324,43.5,10.5,3.8333333333333335,0.0,4.333333333333333,4.4751992099918425,5.822446572439124,0.8174569369293749
7572,8471,Vladimir Kabakhidze,M S,10.5,489.5,0.0,0.09288290981203311,0.5,0.1405612779781222,2.5,2.5,2.0,0.0,0.0,0.09288290981203311,0.4147613691166043,0.27528003510087723
7573,3123,Vladimir Khozin,D S,14.666666666666666,1172.0,1.0,0.770250586171945,1.6666666666666667,1.5170913534238935,14.0,10.333333333333334,2.3333333333333335,0.0,1.0,0.770250586171945,2.5662329172094664,1.4603098773707945
7574,4598,Vladimir Korytko,F M S,8.0,533.0,1.0,0.9152909023687243,0.0,1.5507566258311272,5.0,18.0,1.0,0.0,1.0,0.1610155859962105,1.8522784998640416,1.5139391338452697
7575,2736,Vladimir Lobkarev,D S,10.0,389.0,0.0,0.2679352080449462,0.0,0.9658187180757524,4.0,6.0,0.0,0.0,0.0,0.2679352080449462,1.897065713070333,0.8312017321586609
7576,9056,Vladimir Medved,S,3.0,25.0,0.0,0.0,0.0,0.0168912447988986,0.0,1.0,0.0,0.0,0.0,0.0,0.0168912447988986,0.0
7577,6680,Vladimir Moskvichev,M S,3.5,148.5,0.0,0.0112282894551754,0.0,0.0103628940414637,1.0,1.0,0.0,0.0,0.0,0.0112282894551754,0.5456375274807215,0.5341842342168093
7578,7659,Vladimir Obukhov,F S,19.5,1150.0,3.5,3.263861150946468,1.0,1.4256011683028191,31.0,18.0,1.5,0.0,2.5,2.132448913063854,4.690108757931739,1.7182618025690317
7579,5428,Vladimir Parnyakov,M S,9.0,678.0,0.0,0.254671711474657,0.0,0.5187848024070263,5.0,4.0,2.0,0.0,0.0,0.254671711474657,1.2898305281996727,0.578066498041153
